,region_id,region_type_id,region_name,region_type,period_begin,period_end,duration,total_homes_sold,total_homes_sold_yoy,average_homes_sold,average_homes_sold_yoy,total_homes_sold_with_price_drops,total_homes_sold_with_price_drops_yoy,average_homes_sold_with_price_drops,average_homes_sold_with_price_drops_yoy,percent_homes_sold_with_price_drops,percent_homes_sold_with_price_drops_yoy,median_sale_price,median_sale_price_yoy,median_sale_ppsf,median_sale_ppsf_yoy,median_days_to_close,median_days_to_close_yoy,price_drops,price_drops_yoy,percent_active_listings_with_price_drops,percent_active_listings_with_price_drops_yoy,pending_sales,pending_sales_yoy,median_pending_sqft,median_pending_sqft_yoy,off_market_in_two_weeks,off_market_in_two_weeks_yoy,off_market_in_one_week,off_market_in_one_week_yoy,percent_off_market_in_two_weeks,percent_off_market_in_two_weeks_yoy,percent_off_market_in_one_week,percent_off_market_in_one_week_yoy,total_new_listings,total_new_listings_yoy,average_new_listings,average_new_listings_yoy,median_new_listing_price,median_new_listing_price_yoy,median_new_listing_ppsf,median_new_listing_ppsf_yoy,inventory,inventory_yoy,total_active_listings,total_active_listings_yoy,active_listings,active_listings_yoy,age_of_inventory,age_of_inventory_yoy,homes_delisted,homes_delisted_yoy,percent_active_listings_delisted,percent_active_listings_delisted_yoy,median_active_list_price,median_active_list_price_yoy,median_active_list_ppsf,median_active_list_ppsf_yoy,average_of_median_list_price_amount,average_of_median_list_price_amount_yoy,average_of_median_offer_price_amount,average_of_median_offer_price_amount_yoy,avg_offer_to_list,avg_offer_to_list_yoy,average_sale_to_list_ratio,average_sale_to_list_ratio_yoy,median_days_on_market,median_days_on_market_yoy,pending_sales_to_sales_ratio,pending_sales_to_sales_ratio_yoy,months_of_supply,months_of_supply_yoy,average_pending_sales_listing_updates,average_pending_sales_listing_updates_yoy,average_percent_off_market_in_one_week_listing_updates,average_percent_off_market_in_one_week_listing_updates_yoy,average_percent_off_market_in_two_weeks_listing_updates,average_percent_off_market_in_two_weeks_listing_updates_yoy,percent_total_price_drops_of_inventory,percent_total_price_drops_of_inventory_yoy,percent_homes_sold_above_list,percent_homes_sold_above_list_yoy,price_drop_percent_of_old_list_price,price_drop_percent_of_old_list_price_yoy,last_updated,average_adjustment_average_homes_delisted,adjusted_average_homes_delisted,average_adjustment_average_homes_sold,adjusted_average_homes_sold,average_adjustment_average_new_listings,adjusted_average_new_listings,average_adjustment_pending_sales,adjusted_pending_sales,adjusted_average_homes_delisted_yoy,adjusted_average_homes_sold_yoy,adjusted_average_new_listings_yoy,adjusted_pending_sales_yoy
2654435,35614,-2,"New York, NY metro area",metro,9/4/2023,9/10/2023,1 weeks,981,-0.214571657,981,-0.214571657,286,-0.264781491,286,-0.264781491,0.291539246,-0.019909914,730000,0.051536828,434.057971,0.063825477,59,-4,873,-0.286764706,0.034508657,-0.007778439,495,-0.149484536,1591,0.07827855,74,0.088235294,24,-0.225806452,0.149494949,0.032656462,0.048484848,-0.004779756,1974,-0.045454545,1974,-0.045454545,848000,0.066666667,516.0839161,0.092883587,24220,-0.124240671,25298,-0.125997582,25298,-0.125997582,82,1,397,-0.101809955,0.01569294,0.0004226,799999,0.08107973,531.2195122,0.172082732,615000,-0.263472613,515000,-0.38507426,0.976511439,0.022719214,1.004571363,0.008007896,47,3,0.504587156,0.038614378,25.78797146,2.613431826,939,-0.17486819,0.052183174,0.03636595,0.12886049,0.078772616,0.036044591,-0.008213436,0.359836901,0.062799271,0.051146577,-0.007142456,12/6/2023 14:30,,397,,981,,1974,,495,-0.101809955,-0.214571657,-0.045454545,-0.149484536
2654495,35614,-2,"New York, NY metro area",metro,9/11/2023,9/17/2023,1 weeks,1135,-0.24131016,1135,-0.24131016,320,-0.254079254,320,-0.254079254,0.281938326,-0.00482638,700000,0.02189781,413.0067568,0.050682666,61,-2,874,-0.27768595,0.033799985,-0.007125403,577,-0.296341463,1600,-0.0144749,108,-0.092436975,46,-0.26984127,0.187175043,0.042053092,0.079722704,0.002893435,1766,-0.118762475,1766,-0.118762475,818500,0.081241744,517.7812099,0.144298762,24639,-0.115359759,25858,-0.125414327,25858,-0.125414327,82,1,409,-0.177062374,0.015817155,-0.000992694,810000,0.082887701,538.4615385,0.182463184,752499.5,0.076537196,751000,0.048882682,1.017118032,0.029151224,1.001025327,0.006773081,53,5,0.508370044,-0.039758298,22.78237885,3.019009871,1129,-0.557775166,0.062887511,0.047219669,0.149689991,0.101119682,0.035472219,-0.007971699,0.313656388,0.030233928,0.051756564,-0.019145381,12/6/2023 14:30,,409,,1135,,1766,,577,-0.177062374,-0.24131016,-0.118762475,-0.296341463
2710303,35614,-2,"New York, NY metro area",metro,9/18/2023,9/24/2023,1 weeks,1044,-0.271458479,1044,-0.271458479,295,-0.341517857,295,-0.341517857,0.28256705,-0.030063795,670500,-0.02826087,393.2624183,-0.031665402,59,-4,689,-0.48,0.026328862,-0.018945517,614,-0.151933702,1600,-0.011735639,129,-0.156862745,36,-0.12195122,0.21009772,-0.001228247,0.058631922,0.002002088,1669,-0.062886019,1669,-0.062886019,819000,0.170001671,511.0579376,0.147940454,25073,-0.095098888,26169,-0.105822456,26169,-0.105822456,80,0,263,-0.454356846,0.010050059,-0.006419564,825000,0.10738255,548.712206,0.202297735,699000,0.08372093,700000,0.152263374,1.004936607,0.039861971,0.995861228,0.00526688,52,3,0.588122605,0.08288883,25.06609195,4.64320291,1085,-0.204545455,0.037788018,0.012861332,0.184331797,0.056032677,0.027479759,-0.020340365,0.33908046,0.071809001,0.053670889,-0.01388523,12/6/2023 14:30,,263,,1044,,1669,,614,-0.454356846,-0.271458479,-0.062886019,-0.151933702
2710363,35614,-2,"New York, NY metro area",metro,9/25/2023,10/1/2023,1 weeks,1259,-0.145281738,1259,-0.145281738,361,-0.267748479,361,-0.267748479,0.286735504,-0.047955602,685000,0.030075188,405.1076368,0.011985013,57,-5,989,-0.202419355,0.037151121,-0.005077458,622,-0.053272451,1517,-0.030361138,115,0.105769231,27,-0.27027027,0.18488746,0.026592178,0.04340836,-0.01290823,1664,-0.042577675,1664,-0.042577675,799999,0.097392318,491.8032787,0.137391029,24867,-0.099674149,26621,-0.093413704,26621,-0.093413704,79,-1,774,0.09631728,0.029074791,0.005031745,835000,0.11631016,559.4569288,0.222701696,919500,0.421174652,917000,0.503278689,0.993611838,0.02916023,0.999305624,0.007259513,54,-3,0.494042891,0.048014378,21.14455917,1.20973229,1268,-0.045180723,0.054416404,0.040109175,0.163249211,0.090960055,0.039771585,-0.005123419,0.340746624,0.078696387,0.055913187,-0.000274239,12/6/2023 14:30,,774,,1259,,1664,,622,0.09631728,-0.145281738,-0.042577675,-0.053272451
2490970,35614,-2,"New York, NY metro area",metro,10/2/2023,10/8/2023,1 weeks,1080,-0.171143515,1080,-0.171143515,333,-0.225581395,333,-0.225581395,0.308333333,-0.021674341,680000,0.011152416,422.9002354,0.082146885,43,-17,929,-0.227763924,0.035258843,-0.006068581,551,-0.145736434,1593,0.062,102,-0.105263158,29,-0.275,0.185117967,0.008373781,0.052631579,-0.009383925,1588,0.014048531,1588,0.014048531,788500,0.126589513,464.8127128,0.062027825,24993,-0.097758204,26348,-0.09485039,26348,-0.09485039,78,-3,436,0.033175355,0.016547746,0.002050511,835000,0.11631016,558.3069094,0.213774717,469000,-0.441001192,364500,-0.571680376,0.946989319,-0.040469225,0.996157027,0.008460975,74,20,0.510185185,0.015173673,24.3962963,2.056311645,1144,-0.267605634,0.054195804,0.033069044,0.16520979,0.066618241,0.037170408,-0.006257627,0.277777778,0.015306558,0.054114179,-0.010909154,12/6/2023 14:30,,436,,1080,,1588,,551,0.033175355,-0.171143515,0.014048531,-0.145736434
2491030,35614,-2,"New York, NY metro area",metro,10/9/2023,10/15/2023,1 weeks,1043,-0.110068259,1043,-0.110068259,349,-0.086387435,349,-0.086387435,0.334611697,0.00867313,670000,-0.017595308,416.2826421,0.039571151,49,-14,988,-0.220205209,0.037305543,-0.00615184,525,-0.177115987,1527,-0.060885609,91,-0.125,29,-0.325581395,0.173333333,0.010323929,0.055238095,-0.012160024,1583,0.025259067,1583,0.025259067,749000,0.012162162,480.3675856,0.105446212,25229,-0.091305287,26484,-0.091613788,26484,-0.091613788,76,-5,405,-0.115720524,0.015292252,-0.000416889,835000,0.11481976,559.2526991,0.212043541,677000,0.267790262,680000,0.36,0.986684126,0.035009437,0.991376158,0.002653267,76,23,0.503355705,-0.041012896,25.39213806,0.5158582,1010,-0.102222222,0.052475248,0.025808581,0.155445545,0.063889989,0.039161283,-0.006473352,0.282837967,0.029424998,0.053353953,0.000810272,12/6/2023 14:30,,405,,1043,,1583,,525,-0.115720524,-0.110068259,0.025259067,-0.177115987
2683187,35614,-2,"New York, NY metro area",metro,10/16/2023,10/22/2023,1 weeks,1127,-0.081499593,1127,-0.081499593,376,-0.102625298,376,-0.102625298,0.333629104,-0.007854189,705000,0.084615385,409.0909091,0.03030303,41,-22,1037,-0.176984127,0.038772153,-0.00424888,597,-0.128467153,1531,0.020666667,111,-0.051282051,41,-0.088888889,0.185929648,0.015126729,0.068676717,0.002983286,1610,0.007509387,1610,0.007509387,799000,0.094522047,475.3239643,0.06092521,25280,-0.090811005,26746,-0.086793226,26746,-0.086793226,75,-6,473,0.120853081,0.017684887,0.003276256,839000,0.120160214,559.1397849,0.206883873,581500,-0.049758967,585000,-0.027431421,1.048824926,0.074012629,0.997060912,0.008162337,72,12,0.529724933,-0.028547275,23.73203194,-0.137568709,1164,-0.088488645,0.054982818,0.026791745,0.16838488,0.08067932,0.04102057,-0.004295021,0.299911269,0.051337512,0.052353998,-0.003479277,12/6/2023 14:30,,473,,1127,,1610,,597,0.120853081,-0.081499593,0.007509387,-0.128467153
2800587,35614,-2,"New York, NY metro area",metro,10/23/2023,10/29/2023,1 weeks,1111,-0.212056738,1111,-0.212056738,341,-0.335282651,341,-0.335282651,0.306930693,-0.056899094,673000,0.01969697,411.8253303,0.031730828,44,-20,1079,-0.16096423,0.040528866,-0.003712224,841,0.222383721,1463,-0.091304348,116,0.148514851,42,-0.045454545,0.137931034,-0.008871291,0.049940547,-0.014012941,1431,0.048351648,1431,0.048351648,775000,0.107301043,462.1052632,0.083827916,24391,-0.116556195,26623,-0.084113114,26623,-0.084113114,72,-10,389,-0.093240093,0.014611426,-0.000147071,840000,0.121495327,562.5,0.21626987,798000,0.15744434,820000,0.179856115,0.953119033,-0.045644536,0.997190059,0.009761717,68.5,10.5,0.756975698,0.269032435,23.96309631,3.347493473,1095,-0.093543046,0.049315068,0.024480631,0.161643836,0.060650458,0.044237629,-0.002341385,0.305130513,0.062577322,0.052561015,-0.010235764,12/6/2023 14:30,,389,,1111,,1431,,841,-0.093240093,-0.212056738,0.048351648,0.222383721
2800647,35614,-2,"New York, NY metro area",metro,10/30/2023,11/5/2023,1 weeks,1111,-0.176426983,1111,-0.176426983,322,-0.290748899,322,-0.290748899,0.289828983,-0.046716606,650000,-0.044117647,403.0944625,0.027326752,46,-15,910,-0.266129032,0.035352162,-0.007490667,788,0.128939828,1400,-0.090909091,105,0.09375,48,0.11627907,0.133248731,-0.004287086,0.060913706,-0.000690879,1431,0.005621926,1431,0.005621926,750000,0.056338028,455.3191489,0.054736818,23471,-0.127309909,25741,-0.110631241,25741,-0.110631241,67,-14,858,-0.095890411,0.033332038,0.000543454,829000,0.106809079,547.6345891,0.18073166,922499.5,0.848696393,875000,0.722440945,0.974304768,0.001395285,0.995900824,0.003968421,69,7,0.709270927,0.191850616,23.16921692,1.714064957,1043,-0.181960784,0.041227229,0.014560562,0.142857143,0.059719888,0.03877125,-0.007333974,0.329432943,0.05886215,0.052972382,-0.009505236,12/6/2023 14:30,,858,,1111,,1431,,788,-0.095890411,-0.176426983,0.005621926,0.128939828
2804105,35614,-2,"New York, NY metro area",metro,11/6/2023,11/12/2023,1 weeks,884,-0.182238668,884,-0.182238668,283,-0.247340426,283,-0.247340426,0.320135747,-0.02769034,697000,0.072307692,406.0768913,0.049249862,47,-12,934,-0.138376384,0.037668885,-0.000859638,924,0.582191781,1318,-0.147477361,109,0.434210526,47,0.175,0.117965368,-0.012171618,0.050865801,-0.01762735,1398,0.057488654,1398,0.057488654,749000,0.071530758,481.417784,0.167410331,22286,-0.167438733,24795,-0.118713346,24795,-0.118713346,66,-14,608,0.28,0.024521073,0.007638187,825000,0.101468625,539.7042835,0.158152798,679499.5,0.359151225,677000,0.374619289,0.97468884,-0.010918695,0.994895854,0.009035886,67,11,1.045248869,0.505008351,28.04864253,2.021815522,1121,-0.207773852,0.04103479,0.017006522,0.143621766,0.065176537,0.041909719,0.001413604,0.279411765,0.040743865,0.053102024,-0.004235903,12/6/2023 14:30,,608,,884,,1398,,924,0.28,-0.182238668,0.057488654,0.582191781
