date,age_of_inventory,total_new_listings,total_active_listings,inventory,total_homes_sold,total_homes_sold_with_price_drops,average_sale_to_list_ratio,percent_homes_sold_with_price_drops,homes_delisted,median_new_listing_price,median_days_on_market,median_days_to_close,median_sale_price,months_of_supply,pending_sales,percent_off_market_in_two_weeks,percent_homes_sold_above_list,price_drops
2017-01-31,102.6,1041.0,18614.6,17815.8,443.2,165.6,0.9532223678989407,0.37338408908352644,314.8,332380.0,69.2,38.0,263100.0,44.59667943145932,298.2,0.27182510553078965,0.10396030534473184,662.0
2017-02-28,96.5,1022.5,18899.25,18010.25,528.25,190.5,0.9511330303289718,0.3589990731297772,319.25,328212.5,72.0,33.75,261500.0,37.514030249047025,372.25,0.298203899804667,0.09707988310609791,659.0
2017-03-31,91.0,1045.0,18919.5,17983.25,625.25,230.0,0.9541163854631634,0.36902396008087057,342.0,321225.0,67.125,35.375,271125.0,31.107217060265842,390.0,0.32472350903349145,0.10799941927990706,658.5
2017-04-30,88.25,933.75,18609.75,17729.25,615.0,219.75,0.9548823647523761,0.3606346648976661,314.75,321750.0,60.625,36.0,278262.5,31.657184362630254,376.5,0.30499954171146365,0.11351692441078053,617.75
2017-05-31,92.0,957.4,18465.2,17604.4,636.6,225.8,0.9559570047358825,0.35567724275549595,315.4,324980.0,61.3,37.2,272750.0,29.155630842096308,370.0,0.3239658642163469,0.1068407701927883,608.4
2017-06-30,96.25,897.75,18224.0,17359.25,668.25,233.5,0.9532453189213215,0.35018310427345634,325.75,326225.0,61.875,37.75,283737.5,28.058673548506075,361.5,0.31442104602429377,0.1108274586949472,590.0
2017-07-31,98.8,919.8,18169.6,17402.8,567.8,201.0,0.9554535089066869,0.35472116580828983,304.0,320639.9,59.8,37.1,278150.0,32.84573805497311,314.8,0.31591292358030837,0.1191529194980846,573.0
2017-08-31,100.75,922.75,18334.0,17510.75,569.25,197.25,0.9546497451686635,0.34447525052018557,329.25,325787.5,57.375,36.375,281112.5,33.20652207171106,332.25,0.3161732721934927,0.1096860124041911,558.75
2017-09-30,107.0,552.75,17707.0,17176.0,383.75,145.0,0.9547459698510539,0.38880147630147627,256.5,320873.5,65.875,38.875,274250.0,95.44409673659673,170.5,0.21404819409649817,0.09811771561771558,368.75
2017-10-31,107.2,952.0,18128.4,17376.8,501.4,171.2,0.9530929341308247,0.34030936513188526,294.2,321899.6,67.3,41.3,277350.0,36.298653734635096,283.2,0.33510953589562587,0.10899534839549996,607.0
2017-11-30,107.75,881.75,18341.75,17592.0,503.5,186.75,0.9538873832497616,0.37270130795821976,274.0,340986.25,73.375,32.625,280112.5,38.38413302304358,304.75,0.27397779957749807,0.09810690728265065,550.75
2017-12-31,106.25,698.5,18309.25,17611.0,580.0,207.25,0.9566179864827663,0.359018388549588,295.5,329075.0,70.125,33.25,278311.25,32.049434954417464,245.75,0.24986533413910883,0.10311686690098248,434.0
2018-01-31,98.6,1049.0,18485.6,17689.6,444.6,163.0,0.9497180201814466,0.36536870932540555,304.2,337580.0,67.4,36.9,277699.0,44.072645273126916,312.8,0.2710386615761975,0.08801369071555523,622.8
2018-02-28,95.0,1055.75,18980.25,18125.75,520.25,184.75,0.9466706333374443,0.35491439308709044,311.5,338499.75,69.875,32.0,280625.0,38.53758594687576,338.0,0.3265303304923679,0.08453557133790325,661.25
2018-03-31,91.5,995.5,19061.0,18152.25,602.0,207.25,0.9539259444706425,0.3439208422870078,318.25,338487.5,66.0,34.25,294875.0,32.04234146613802,400.0,0.31027237620616827,0.09305655755399796,669.25
