,Statistic,p-value,Skewness,Kurtosis,Result
age_of_inventory,0.9394949078559875,1.0392049720753249e-10,-0.604767864178271,-0.43356040323091083,Non-normal
total_new_listings,0.923155665397644,2.249371045329185e-12,-1.147965716602349,1.4735004499531277,Non-normal
total_active_listings,0.8652212619781494,8.000968664134694e-17,-0.47467854609193305,-1.3625339116318986,Non-normal
inventory,0.8615943789482117,4.72284428652541e-17,-0.4709302160356174,-1.3777402862424084,Non-normal
total_homes_sold,0.9780900478363037,3.841092620859854e-05,0.5497743884122726,0.7085503286735855,Non-normal
total_homes_sold_with_price_drops,0.9944596290588379,0.24075640738010406,0.18726642151514317,-0.17227632545422944,Normal
average_sale_to_list_ratio,0.9020689725875854,3.3457554082924265e-14,1.1119831135531495,0.8249199373682368,Non-normal
percent_homes_sold_with_price_drops,0.9219776391983032,1.7438792380627954e-12,-0.7474001704859391,-0.4493251773505742,Non-normal
homes_delisted,0.9776986241340637,3.221513907192275e-05,0.4463570345497545,-0.08513091845157916,Non-normal
median_new_listing_price,0.8544164299964905,1.712407631975229e-17,0.6962751828262507,-1.031920164199569,Non-normal
median_days_on_market,0.9868688583374023,0.0030361905228346586,0.39322759955491166,0.16407387261393902,Non-normal
median_days_to_close,0.9263633489608765,4.559686829497256e-12,0.2776587030141027,-1.0906193094072913,Non-normal
median_sale_price,0.8960844278335571,1.137833757606805e-14,0.560194557209689,-1.0903064373764515,Non-normal
months_of_supply,0.644314169883728,2.740789054964729e-26,6.600754009314739,80.32458737119369,Non-normal
pending_sales,0.9627326726913452,9.45181426459385e-08,0.5278246515073493,0.08886704653322708,Non-normal
percent_off_market_in_two_weeks,0.962726891040802,9.433031067374031e-08,-0.7225363161125669,0.6652998601780729,Non-normal
percent_homes_sold_above_list,0.833990216255188,1.150499147617981e-18,1.540654064140697,2.1387697142862896,Non-normal
price_drops,0.9584345817565918,2.2776818653369446e-08,0.035115087448594845,-1.167083542556942,Non-normal
