,min,mean,median,max,range,stdev,sem
age_of_inventory,46.0,87.52873563218391,93.0,124.0,78.0,17.355638624283156,0.9303598859604476
total_new_listings,254.0,875.0862068965517,909.0,1197.0,943.0,163.99240347375326,8.790915569119399
total_active_listings,10125.0,16081.738505747126,17839.0,20690.0,10565.0,3221.049000914766,172.66635046037382
inventory,9246.0,15272.833333333334,17163.0,19766.0,10520.0,3232.490462299443,173.27967716874255
total_homes_sold,75.0,611.3793103448276,590.5,1216.0,1141.0,171.00703535617987,9.16693930754052
total_homes_sold_with_price_drops,32.0,184.18965517241378,181.0,349.0,317.0,52.069934206754446,2.7912414575620352
average_sale_to_list_ratio,0.9398562087211576,0.9596808377948253,0.9563469543040735,0.9900424639443128,0.05018625522315523,0.009653630834872808,0.0005174889312381892
percent_homes_sold_with_price_drops,0.1065375302663438,0.3134445273966312,0.34127376203748516,0.4596774193548386,0.3531398890884948,0.08092497979626254,0.004338034261053418
homes_delisted,120.0,257.8333333333333,257.5,480.0,360.0,67.80881611374261,3.6349340864027244
median_new_listing_price,307495.0,405934.5387931034,369950.0,585000.0,277505.0,79955.98833058972,4286.090866228485
median_days_on_market,41.0,65.42241379310344,64.0,105.0,64.0,11.640992011910557,0.6240226726957974
median_days_to_close,11.0,27.762931034482758,25.0,48.0,37.0,6.801358528971286,0.364591086641803
median_sale_price,240000.0,362450.3232758621,330000.0,545000.0,305000.0,81152.48857998406,4350.230011994095
months_of_supply,9.27491103202847,29.337034987553526,28.210560264626835,232.86666666666667,223.59175563463822,15.680293157441055,0.8405519422011929
pending_sales,77.0,368.7442528735632,349.5,693.0,616.0,111.12150628910196,5.956737989130152
percent_off_market_in_two_weeks,0.0996677740863787,0.268519730500054,0.27757502027575015,0.4121212121212121,0.3124534380348334,0.05255331290995172,0.0028171532759006072
percent_homes_sold_above_list,0.0524934383202099,0.1307321445410108,0.10760349490326605,0.3472906403940886,0.29479720207387866,0.059933104643257434,0.0032127516369890767
price_drops,95.0,456.5488505747126,434.5,851.0,756.0,180.87091715648097,9.69569887355358
