,Statistic,p-value,Skewness,Kurtosis,Result
age_of_inventory,0.9729929566383362,4.3225054469075985e-06,0.27704455067021694,-0.7795016735295675,Non-normal
total_new_listings,0.984991729259491,0.001107759540900588,-0.2946289931375882,0.14480327990975983,Non-normal
total_active_listings,0.952394962310791,3.549399663071995e-09,-0.2916508177736636,-1.0324850780269081,Non-normal
inventory,0.9485498666763306,1.1704216484886842e-09,-0.2994348818278212,-1.0734711926715004,Non-normal
total_homes_sold,0.9916590452194214,0.04735739901661873,0.3008286406283664,-0.045481285942672756,Non-normal
total_homes_sold_with_price_drops,0.973332405090332,4.965963398717577e-06,0.43090269208676535,-0.48465765657404125,Non-normal
average_sale_to_list_ratio,0.9364006519317627,4.7930399232898324e-11,0.7727853221376072,-0.19474847163619513,Non-normal
percent_homes_sold_with_price_drops,0.9915651679039001,0.04480116441845894,0.17902564478960384,-0.35837989151533556,Non-normal
homes_delisted,0.7304061651229858,2.3535441070771804e-23,4.050960273773224,31.138794618816213,Non-normal
median_new_listing_price,0.9897328615188599,0.015300877392292023,0.18920803957947335,-0.12963490327144278,Non-normal
median_days_on_market,0.9785649180412292,4.76399072795175e-05,-0.09794888510974924,-0.8444506944722279,Non-normal
median_days_to_close,0.9561620354652405,1.1115087517055144e-08,0.1226107983776852,-1.0742377663508078,Non-normal
median_sale_price,0.933089554309845,2.1505543873479027e-11,0.37715781066097953,-1.1038213273277022,Non-normal
months_of_supply,0.9710333347320557,1.9735814476007363e-06,0.548045063157622,0.06439164346071946,Non-normal
pending_sales,0.9734311699867249,5.171346401766641e-06,0.619411465208881,0.9267046420188767,Non-normal
percent_off_market_in_two_weeks,0.9597480893135071,3.485142485715187e-08,0.7942895803087019,0.6846370309059995,Non-normal
percent_homes_sold_above_list,0.8883522748947144,3.0065601751798473e-15,0.9304486535617347,-0.15566447771109138,Non-normal
price_drops,0.9929973483085632,0.10426752269268036,-0.03021999199289199,0.08437216210589282,Normal
