,min,mean,median,max,range,stdev,sem
age_of_inventory,52.0,83.71982758620689,81.0,125.0,73.0,17.352003529366748,0.9301650244191872
total_new_listings,429.0,1840.2471264367816,1849.5,3682.0,3253.0,561.3946886009996,30.093914132024608
total_active_listings,22405.0,33692.27011494253,34193.0,43657.0,21252.0,5772.505308846455,309.4387649516
inventory,21039.0,31983.612068965518,32675.0,41630.0,20591.0,5683.029960258092,304.6423828125717
total_homes_sold,568.0,1338.066091954023,1344.5,2329.0,1761.0,318.6044835605954,17.07899302404182
total_homes_sold_with_price_drops,137.0,365.55172413793105,362.0,694.0,557.0,124.96092840621303,6.698608885463462
average_sale_to_list_ratio,0.96744417420167,0.9837168242009819,0.9814746649400368,1.0116931999642986,0.04424902576262868,0.009944182260212696,0.0005330641224942832
percent_homes_sold_with_price_drops,0.1314398943196829,0.2731088965534904,0.2731409472167745,0.4443021766965428,0.3128622823768599,0.06630253055765364,0.0035541887051163197
homes_delisted,248.0,491.64367816091954,466.5,2244.0,1996.0,179.04115264464377,9.597613200106478
median_new_listing_price,456000.0,644264.4439655172,639200.0,799000.0,343000.0,57912.75814596037,3104.449696765686
median_days_on_market,39.0,79.3132183908046,81.25,121.5,82.5,19.48673968671707,1.0445988940625246
median_days_to_close,22.0,52.964080459770116,50.5,80.0,58.0,12.692755995905914,0.6804031402424154
median_sale_price,471000.0,596461.5086206896,574500.0,740000.0,269000.0,66812.67794854166,3581.5354757356117
months_of_supply,13.07548125633232,26.572024439833083,26.232185299013246,56.0862676056338,43.01078634930148,7.556312954356669,0.40506089177614973
pending_sales,242.0,743.221264367816,713.5,2033.0,1791.0,260.59704207098923,13.969467767297985
percent_off_market_in_two_weeks,0.049618320610687,0.1764307624520928,0.16788296676564823,0.4505169867060561,0.4008986660953691,0.06293833486318036,0.0033738488864317124
percent_homes_sold_above_list,0.1170678336980306,0.2029088699830781,0.17649441961368567,0.3914623069936421,0.2743944732956115,0.06442818359598025,0.0034537131615040607
price_drops,171.0,889.4971264367816,883.0,1941.0,1770.0,275.96566109070335,14.793312222007089
