date,age_of_inventory,total_new_listings,total_active_listings,inventory,total_homes_sold,total_homes_sold_with_price_drops,average_sale_to_list_ratio,percent_homes_sold_with_price_drops,homes_delisted,median_new_listing_price,median_days_on_market,median_days_to_close,median_sale_price,months_of_supply,pending_sales,percent_off_market_in_two_weeks,percent_homes_sold_above_list,price_drops
2017-01-31,59.0,738.0,3980.4,3205.8,632.2,159.6,1.0064143400828192,0.2528400401958664,54.8,472990.0,21.4,39.8,438490.0,6.357702518809036,604.8,0.6771215753315698,0.36648150955843317,128.2
2017-02-28,33.25,874.0,3855.25,2983.25,745.75,127.75,1.0227346732841163,0.1749698880638425,44.5,487195.75,9.5,33.0,458870.625,5.506380338685914,741.25,0.7719229451490548,0.49462615761773926,115.5
2017-03-31,24.25,1070.25,4137.75,3103.5,892.5,114.5,1.0336857928281125,0.1304177042474828,49.0,498487.25,7.25,31.5,478246.875,4.735826451675317,924.25,0.8070033545904506,0.5391831448614125,107.0
2017-04-30,22.25,1213.5,4463.75,3342.0,941.5,85.5,1.0429060596893889,0.09173488682000587,47.5,492600.0,6.75,31.0,496314.0,4.8578968664197895,1031.75,0.818951551831834,0.6050123836751199,132.75
2017-05-31,18.4,1450.0,5423.6,4189.6,1085.6,87.8,1.0469684768588277,0.08092424568478798,51.0,507876.0,7.0,31.2,505915.0,5.02275533689083,1153.4,0.7918125039243038,0.6260187279674103,204.6
2017-06-30,22.25,1380.0,6211.5,4883.75,1259.75,106.25,1.0445701796744513,0.08397433710074675,70.75,494223.75,7.0,31.5,516425.0,5.052849312312315,1220.75,0.7413800299690027,0.6171792726705481,294.5
2017-07-31,25.4,1334.0,6517.6,5342.8,1125.6,134.6,1.0332403676694457,0.11788425127766713,75.8,498500.0,7.5,31.4,522990.0,5.8541500509142335,1060.4,0.6767531371146986,0.5652407399830551,335.8
2017-08-31,31.75,1125.0,6729.0,5542.0,1208.5,167.5,1.0251703880213199,0.1384063155132934,95.25,489450.0,8.25,31.75,517000.0,5.6786102143806785,1043.25,0.6350535647711602,0.5092339880659679,379.25
2017-09-30,32.625,1188.0,6756.5,5656.0,1111.5,204.25,1.018576353244209,0.1816514416118335,95.5,528300.0,9.5,32.0,507243.75,6.322537676713065,941.75,0.6288473069725038,0.47765004055929344,415.0
2017-10-31,37.6,922.2,6218.6,5102.2,1019.4,194.6,1.0150261570262018,0.19089093367385282,129.2,512894.0,10.0,31.0,507000.0,6.185682687103685,911.4,0.5973501373538813,0.447580865093894,369.0
2017-11-30,48.25,606.75,4750.25,3871.5,956.5,213.5,1.012207876804152,0.22400169041863321,112.5,503551.0,10.75,31.75,515487.5,5.313899514125198,687.75,0.5616071760463934,0.43223294520416544,197.75
2017-12-31,61.0,359.75,3426.5,2802.0,904.25,200.25,1.0102263626470132,0.22102324049414934,81.5,489856.25,13.0,33.5,523730.0,3.81731737475966,475.0,0.5981038992147166,0.39787820415245834,73.75
2018-01-31,49.8,720.0,3192.0,2484.4,541.2,112.2,1.0143610242588432,0.20716295243183355,42.0,529914.0,12.2,33.2,506900.0,5.950236639061958,589.4,0.7246181038423912,0.42004046411353935,75.8
2018-02-28,24.5,927.75,3467.25,2627.5,740.75,93.75,1.0355311576468682,0.1286570437556476,30.5,577802.5,7.25,29.25,526518.75,4.860150781542131,747.75,0.8288847468157812,0.5325752042976832,94.75
2018-03-31,19.25,1123.0,4082.5,3016.75,871.5,84.75,1.039933934399856,0.09701574741120506,32.5,569455.0,7.0,28.0,551718.75,4.762923427111515,992.0,0.8284609713356881,0.5890110987644076,114.0
2018-04-30,18.6,1360.2,4843.4,3734.8,967.4,74.0,1.0448415945160618,0.07606813652790943,40.4,572375.0,6.2,28.6,570870.0,5.068984062246704,1039.8,0.807088983802543,0.6207381579515107,175.6
2018-05-31,19.5,1467.75,6058.25,4861.5,1086.75,84.75,1.0402827779136028,0.07774697719830177,57.75,576000.0,7.0,28.25,582224.375,5.595602118267422,1110.75,0.7578643263029038,0.606667240588193,295.0
2018-06-30,23.5,1471.25,7279.5,6076.75,1200.75,137.75,1.0271067218053143,0.11215703052127257,86.0,577750.0,7.25,29.5,578675.0,6.177931181152078,1087.25,0.6933674722959229,0.5425975938835043,448.0
2018-07-31,30.8,1288.2,8099.4,7057.4,1036.2,171.2,1.0128146839441197,0.165044639678795,111.4,542720.0,9.0,30.0,562790.0,7.902057154319737,898.0,0.5724181026676664,0.44984375850596275,551.2
2018-08-31,36.0,1077.75,9022.0,8059.5,1002.75,212.0,1.002907669623101,0.21047343620280387,134.5,532412.5,10.75,30.0,548533.375,9.114551972812762,776.75,0.5103402899593968,0.36188597375706494,717.5
2018-09-30,41.0,1231.75,9790.25,8809.5,863.0,240.5,0.9963027906847227,0.27419783213338633,175.75,573237.5,14.75,30.25,540500.0,11.76863183596394,734.0,0.47440198614596635,0.29120344402714793,863.0
