,Statistic,p-value,Skewness,Kurtosis,Result
age_of_inventory,0.9460936784744263,5.918451839725947e-10,0.7218690536456313,-0.06242355518568177,Non-normal
total_new_listings,0.988221287727356,0.006443295162171125,-0.17121317863191965,-0.5136637083972566,Non-normal
total_active_listings,0.9710556268692017,1.9909102775272913e-06,0.41818240922381716,-0.5200869324132715,Non-normal
inventory,0.9632493853569031,1.1285980860975542e-07,0.5133780189630756,-0.46394113409859505,Non-normal
total_homes_sold,0.9900001287460327,0.01787065528333187,0.1384891838534627,-0.500655884242144,Non-normal
total_homes_sold_with_price_drops,0.9672560691833496,4.6974307110758673e-07,0.6245440213213662,-0.011498561902568039,Non-normal
average_sale_to_list_ratio,0.9232178330421448,2.2799364392950272e-12,1.0418574941918899,0.8595770709702251,Non-normal
percent_homes_sold_with_price_drops,0.9385755062103271,8.235734316741627e-11,0.7136861181238264,-0.34579318092160616,Non-normal
homes_delisted,0.876488983631134,4.4050157533218743e-16,1.4097101097574924,2.2386702172680657,Non-normal
median_new_listing_price,0.9470180869102478,7.632207643659683e-10,0.2996813915686294,-1.09848554896542,Non-normal
median_days_on_market,0.7177659273147583,7.932095009610426e-24,2.0218418299075687,4.000531980104143,Non-normal
median_days_to_close,0.8742648959159851,3.118855515222527e-16,1.6819488778287752,6.002217174659641,Non-normal
median_sale_price,0.9369505047798157,5.489686830117968e-11,0.3477086625017361,-1.117959184909631,Non-normal
months_of_supply,0.9492396712303162,1.4226579914122794e-09,0.8285820147775657,0.3554400294009801,Non-normal
pending_sales,0.9884735941886902,0.007431342266499996,-0.149912542113584,-0.6189718731019442,Non-normal
percent_off_market_in_two_weeks,0.9728135466575623,4.018324489152292e-06,-0.4158182399873708,-0.5281010276342539,Non-normal
percent_homes_sold_above_list,0.975774884223938,1.3851633411832154e-05,0.0048317266613773155,-0.9264408210617936,Non-normal
price_drops,0.9000216126441956,2.3017335989126454e-14,1.0037420543954443,0.22865878000717998,Non-normal
