,min,mean,median,max,range,stdev,sem
age_of_inventory,9.0,36.01149425287356,31.5,81.0,72.0,17.033231972256942,0.913077075312828
total_new_listings,114.0,981.6867816091954,965.0,1826.0,1712.0,362.4430666180111,19.428987744310977
total_active_listings,1307.0,5447.408045977011,5099.5,10043.0,8736.0,1895.3954550439753,101.6038612913616
inventory,1045.0,4471.922413793103,4158.0,9005.0,7960.0,1820.0516071674062,97.56500710479251
total_homes_sold,282.0,894.8505747126437,895.5,1609.0,1327.0,257.580575400934,13.807768180903652
total_homes_sold_with_price_drops,23.0,159.30747126436782,150.0,427.0,404.0,76.45039642832576,4.098171415206331
average_sale_to_list_ratio,0.9763657571743594,1.0197969436018555,1.0136238077715345,1.1199901888052013,0.14362443163084193,0.028763347785881112,0.0015418772852571036
percent_homes_sold_with_price_drops,0.0246913580246913,0.19302056840133272,0.16851285189718473,0.469835466179159,0.4451441081544677,0.10601743511779964,0.005683131055057281
homes_delisted,18.0,90.9080459770115,73.0,362.0,344.0,54.90298117056803,2.9431087156464706
median_new_listing_price,449950.0,631676.9209770114,600875.0,849950.0,400000.0,102794.64971461904,5510.371623665171
median_days_on_market,5.0,11.925287356321839,8.0,55.0,50.0,9.25083647145009,0.4958968869388138
median_days_to_close,26.0,30.48419540229885,30.0,42.0,16.0,2.0004776624932408,0.10723685888110074
median_sale_price,428950.0,630254.3620689656,599972.5,860580.0,431630.0,107896.16840699356,5783.841730505373
months_of_supply,1.95952023988006,6.4540876820743405,5.998037577512903,15.135678391959798,13.176158152079738,2.56984669320515,0.13775824261983488
pending_sales,165.0,821.1551724137931,822.0,1442.0,1277.0,263.21769526924294,14.109949524463513
percent_off_market_in_two_weeks,0.3083333333333333,0.6684998508707153,0.6820919387598756,0.937354988399072,0.6290216550657388,0.14889962049864183,0.007981857478459227
percent_homes_sold_above_list,0.1466275659824047,0.4364048682840388,0.44234511986612823,0.7480998914223669,0.6014723254399622,0.15221589158242763,0.008159628268351572
price_drops,12.0,302.98850574712645,248.0,1031.0,1019.0,215.09175010353667,11.53012807131001
